m_number,no_of_grounds,description,colour_code,1,2,3,layer1_colour,layer1_composition,layer2_colour,layer2_composition,layer3_colour,layer3_composition,toplayer_colour,reliability,sample,microscopy,elem_analysis,sample_location,sample_name_1,sample_link_1,sample_name_2,sample_link_2,researchers,source,dttg_new_research,notes
M398,3,"1. Chalk and glue ground
2. Layer of lead white, ochre and bone black
3. Imprimatura of lead white and lamp black",LY-LG,,,,LY,Calcium carbonate (chalk),LG,"Lead white, ochre, bone black",G,"Lead white, lamp black",G,2,YES,,,Rijksmuseum (PSD),R43/1-14,https://psa.rijksmuseum.nl/art-object-SK-A-2152/sample-set-130,,,"Arie Wallert, Gwen Tauber","Bikker, Jonathan, Yvette Bruijnen, and Gerdien Wuestman, eds. Dutch Paintings of the Seventeenth Century in the Rijksmuseum, Amsterdam: Volume 1 - Artists Born between 1570 and 1600. Amsterdam: Rijksmuseum; Nieuw Amsterdam, 2007.",,"""A layer consisting of lead white, ochre and bone black was applied on top of the chalk and glue ground. The support was then covered with a light grey imprimatura of lead white and lamp black."" (Online catalogue entry)"
M399,2,"1. Calcium carbonate ground
2. Yellow ochre layer",LY-Y,,,,LY,Calcium carbonate (chalk),Y,"Yellow ochre, lead white, black",,,Y,2,YES,YES,,Rijksmuseum (PSD),R45/1-7,https://psa.rijksmuseum.nl/art-object-SK-A-2103/sample-set-131,,,"Arie Wallert, Gwen Tauber","Bikker, Jonathan, Yvette Bruijnen, and Gerdien Wuestman, eds. Dutch Paintings of the Seventeenth Century in the Rijksmuseum, Amsterdam: Volume 1 - Artists Born between 1570 and 1600. Amsterdam: Rijksmuseum; Nieuw Amsterdam, 2007.",,
M400,2,"1. Chalk
2. Thin white imprimatura",LY-W,,,,LY,Calcium carbonate (chalk),W,Lead white,,,W,2,YES,YES,,Rijksmuseum (PSD),172/1-10,https://psa.rijksmuseum.nl/art-object-SK-A-1718/sample-set-106,,,"M. de Keyser, Ige Verslype, Arie Wallert","Bikker, Jonathan, Yvette Bruijnen, and Gerdien Wuestman, eds. Dutch Paintings of the Seventeenth Century in the Rijksmuseum, Amsterdam: Volume 1 - Artists Born between 1570 and 1600. Amsterdam: Rijksmuseum; Nieuw Amsterdam, 2007.",,White imprimatura not mentioned in catalogue but identified in Paint Sample Database
M401,2,"1. Off-white ground
2. Warm yellow imprimatura",W-Y,,,,W,,Y,,,,W,3,,,,,,,,,Ige Verslype,"Bikker, Jonathan, Yvette Bruijnen, and Gerdien Wuestman, eds. Dutch Paintings of the Seventeenth Century in the Rijksmuseum, Amsterdam: Volume 1 - Artists Born between 1570 and 1600. Amsterdam: Rijksmuseum; Nieuw Amsterdam, 2007.",,
M402,1,Off-white ground,W,,,,W,,,,,,W,3,,,,,,,,,Ige Verslype,"Bikker, Jonathan, Yvette Bruijnen, and Gerdien Wuestman, eds. Dutch Paintings of the Seventeenth Century in the Rijksmuseum, Amsterdam: Volume 1 - Artists Born between 1570 and 1600. Amsterdam: Rijksmuseum; Nieuw Amsterdam, 2007.",,
M403,1,Off-white ground,W,,,,W,,,,,,W,3,,,,,,,,,Ige Verslype,"Bikker, Jonathan, Yvette Bruijnen, and Gerdien Wuestman, eds. Dutch Paintings of the Seventeenth Century in the Rijksmuseum, Amsterdam: Volume 1 - Artists Born between 1570 and 1600. Amsterdam: Rijksmuseum; Nieuw Amsterdam, 2007.",,Yellow? Or Grey?
M404,1,Greyish ochre ground on copper,G,,,,G,,,,,,G,3,,,,,,,,,W. de Ridder,"Bikker, Jonathan, Yvette Bruijnen, and Gerdien Wuestman, eds. Dutch Paintings of the Seventeenth Century in the Rijksmuseum, Amsterdam: Volume 1 - Artists Born between 1570 and 1600. Amsterdam: Rijksmuseum; Nieuw Amsterdam, 2007.",,
M405,1,White ground,W,,,,W,,,,,,DR,3,,,,,,,,,W. de Ridder,"Bikker, Jonathan, Yvette Bruijnen, and Gerdien Wuestman, eds. Dutch Paintings of the Seventeenth Century in the Rijksmuseum, Amsterdam: Volume 1 - Artists Born between 1570 and 1600. Amsterdam: Rijksmuseum; Nieuw Amsterdam, 2007.",,
M406,1,White ground,W,,,,W,,,,,,W,3,,,,,,,,,Gwen Tauber,"Bikker, Jonathan, Yvette Bruijnen, and Gerdien Wuestman, eds. Dutch Paintings of the Seventeenth Century in the Rijksmuseum, Amsterdam: Volume 1 - Artists Born between 1570 and 1600. Amsterdam: Rijksmuseum; Nieuw Amsterdam, 2007.",,"""The white ground layer is visible throughout, as the composition was executed in a single layer of paint. The figure was reserved"""
M407,1,White ground,W,,,,W,,,,,,W,3,,,,,,,,,W. de Ridder,"Bikker, Jonathan, Yvette Bruijnen, and Gerdien Wuestman, eds. Dutch Paintings of the Seventeenth Century in the Rijksmuseum, Amsterdam: Volume 1 - Artists Born between 1570 and 1600. Amsterdam: Rijksmuseum; Nieuw Amsterdam, 2007.",,
M408,1,White ground,W,,,,W,,,,,,LBr,3,,,,,,,,,Ige Verslype,"Bikker, Jonathan, Yvette Bruijnen, and Gerdien Wuestman, eds. Dutch Paintings of the Seventeenth Century in the Rijksmuseum, Amsterdam: Volume 1 - Artists Born between 1570 and 1600. Amsterdam: Rijksmuseum; Nieuw Amsterdam, 2007.",,Pupil of Paulus Moreelse
M409,2,"1. White underlayer
2. Red top layer",W-R,,,,W,,R,,,,W,3,,,,,,,,,J. Bikker,"Bikker, Jonathan, Yvette Bruijnen, and Gerdien Wuestman, eds. Dutch Paintings of the Seventeenth Century in the Rijksmuseum, Amsterdam: Volume 1 - Artists Born between 1570 and 1600. Amsterdam: Rijksmuseum; Nieuw Amsterdam, 2007.",,
M410,1,White ground,W,,,,W,,,,,,W,3,,,,,,,,,Ige Verslype,"Bikker, Jonathan, Yvette Bruijnen, and Gerdien Wuestman, eds. Dutch Paintings of the Seventeenth Century in the Rijksmuseum, Amsterdam: Volume 1 - Artists Born between 1570 and 1600. Amsterdam: Rijksmuseum; Nieuw Amsterdam, 2007.",,Is this light grey? Looks like it in cross sections but could be white
M411,1,"Lead white with small amount of lamp black, yellow ochre",LG,,,,LG,,,,,,LY,2,,,,,,,,,"Arie Wallert, M. van de Laar","Bikker, Jonathan, Yvette Bruijnen, and Gerdien Wuestman, eds. Dutch Paintings of the Seventeenth Century in the Rijksmuseum, Amsterdam: Volume 1 - Artists Born between 1570 and 1600. Amsterdam: Rijksmuseum; Nieuw Amsterdam, 2007.",,
M412,2,"1. White ground
2. Thin transparent ochre layer",W-Y,,,,W,,Y,,,,W,3,,,,,,,,,Ige Verslype,"Bikker, Jonathan, Yvette Bruijnen, and Gerdien Wuestman, eds. Dutch Paintings of the Seventeenth Century in the Rijksmuseum, Amsterdam: Volume 1 - Artists Born between 1570 and 1600. Amsterdam: Rijksmuseum; Nieuw Amsterdam, 2007.",,
M413,2,"1. Off-white ground
2. Grey imprimatura",W-G,,,,LY,,G,,,,W,3,,,,,,,,,Ige Verslype,"Bikker, Jonathan, Yvette Bruijnen, and Gerdien Wuestman, eds. Dutch Paintings of the Seventeenth Century in the Rijksmuseum, Amsterdam: Volume 1 - Artists Born between 1570 and 1600. Amsterdam: Rijksmuseum; Nieuw Amsterdam, 2007.",,"Unclear what colour this underpainting is. ""Overall underpainting in grey and brown"""
M414,2,"1. Red layer
2. Grey layer",R-G,,,,R,,G,,,,G,3,,,,,,,,,Gwen Tauber,Visual examination by Gwen Tauber,,"""It has a thick red ground with an uneven light gray second layer which looks exactly the same as the Rijksmuseum's."""
M415,1,Beige ground,LBr,,,,LBr,,,,,,LBr,3,,,,,,,,,Gwen Tauber,"Bikker, Jonathan, Yvette Bruijnen, and Gerdien Wuestman, eds. Dutch Paintings of the Seventeenth Century in the Rijksmuseum, Amsterdam: Volume 1 - Artists Born between 1570 and 1600. Amsterdam: Rijksmuseum; Nieuw Amsterdam, 2007.",,
M416,1,Thin whitish ground,W,,,,W,,,,,,W,3,,,,,,,,,Ige Verslype,"Bikker, Jonathan, Yvette Bruijnen, and Gerdien Wuestman, eds. Dutch Paintings of the Seventeenth Century in the Rijksmuseum, Amsterdam: Volume 1 - Artists Born between 1570 and 1600. Amsterdam: Rijksmuseum; Nieuw Amsterdam, 2007.",,
M417,1,White ground,W,,,,W,,,,,,LBr,3,,,,,,,,,Ige Verslype,"Bikker, Jonathan, Yvette Bruijnen, and Gerdien Wuestman, eds. Dutch Paintings of the Seventeenth Century in the Rijksmuseum, Amsterdam: Volume 1 - Artists Born between 1570 and 1600. Amsterdam: Rijksmuseum; Nieuw Amsterdam, 2007.",,"""Thin and smoothly applied ground is white in colour"""
M418,1,White ground,W,,,,W,,,,,,LBr,3,,,,,,,,,Ige Verslype,"Bikker, Jonathan, Yvette Bruijnen, and Gerdien Wuestman, eds. Dutch Paintings of the Seventeenth Century in the Rijksmuseum, Amsterdam: Volume 1 - Artists Born between 1570 and 1600. Amsterdam: Rijksmuseum; Nieuw Amsterdam, 2007.",,"""The ground is a thin yellowish layer that shows through the paint layers in places and along contours"""
M419,1,Thin yellowish ground,Y,,,,Y,,,,,,W,3,,,,,,,,,Ige Verslype,"Bikker, Jonathan, Yvette Bruijnen, and Gerdien Wuestman, eds. Dutch Paintings of the Seventeenth Century in the Rijksmuseum, Amsterdam: Volume 1 - Artists Born between 1570 and 1600. Amsterdam: Rijksmuseum; Nieuw Amsterdam, 2007.",,"""The off-white ground layer and the paint layers were applie thinly, smoothly and transparently, allowing the coliour of the wooden support to show through"""
M420,1,Off-white ground,W,,,,W,,,,,,W,3,,,,,,,,,W. de Ridder,"Bikker, Jonathan, Yvette Bruijnen, and Gerdien Wuestman, eds. Dutch Paintings of the Seventeenth Century in the Rijksmuseum, Amsterdam: Volume 1 - Artists Born between 1570 and 1600. Amsterdam: Rijksmuseum; Nieuw Amsterdam, 2007.",,
M421,1,White ground,W,,,,W,,,,,,Y,3,,,,,,,,,Ige Verslype,"Bikker, Jonathan, Yvette Bruijnen, and Gerdien Wuestman, eds. Dutch Paintings of the Seventeenth Century in the Rijksmuseum, Amsterdam: Volume 1 - Artists Born between 1570 and 1600. Amsterdam: Rijksmuseum; Nieuw Amsterdam, 2007.",,"""Thin light-coloured ground layer that appears to be pinkish, because the wood support shows through it"""
M422,1,Off-white ground,W,,,,W,,,,,,W,3,,,,,,,,,ige Verslype,"Bikker, Jonathan, Yvette Bruijnen, and Gerdien Wuestman, eds. Dutch Paintings of the Seventeenth Century in the Rijksmuseum, Amsterdam: Volume 1 - Artists Born between 1570 and 1600. Amsterdam: Rijksmuseum; Nieuw Amsterdam, 2007.",,
M423,1,"White ground, probably chalk",W,,,,LY,,,,,,W,3,,,,,,,,,Gwen Tauber,"Bikker, Jonathan, Yvette Bruijnen, and Gerdien Wuestman, eds. Dutch Paintings of the Seventeenth Century in the Rijksmuseum, Amsterdam: Volume 1 - Artists Born between 1570 and 1600. Amsterdam: Rijksmuseum; Nieuw Amsterdam, 2007.",,Is brownish red brown or red?
M424,1,Brownish red ground layer,R,,,,R,,,,,,R,3,,,,,,,,,W. de Ridder,"Bikker, Jonathan, Yvette Bruijnen, and Gerdien Wuestman, eds. Dutch Paintings of the Seventeenth Century in the Rijksmuseum, Amsterdam: Volume 1 - Artists Born between 1570 and 1600. Amsterdam: Rijksmuseum; Nieuw Amsterdam, 2007.",,"Interesting to compare to De Bievre's ""saffron"" classification of Dordrecht paintings"
M425,1,Ochre coloured ground,Y,,,,Y,,,,,,Y,3,,,,,,,,,J. Deuss,"Bikker, Jonathan, Yvette Bruijnen, and Gerdien Wuestman, eds. Dutch Paintings of the Seventeenth Century in the Rijksmuseum, Amsterdam: Volume 1 - Artists Born between 1570 and 1600. Amsterdam: Rijksmuseum; Nieuw Amsterdam, 2007.",,
M426,1,White ground,W,,,,W,,,,,,LBr,3,,,,,,,,,Gwen Tauber,"Bikker, Jonathan, Yvette Bruijnen, and Gerdien Wuestman, eds. Dutch Paintings of the Seventeenth Century in the Rijksmuseum, Amsterdam: Volume 1 - Artists Born between 1570 and 1600. Amsterdam: Rijksmuseum; Nieuw Amsterdam, 2007.",,"""The thin and smoothly applied ground is probably greyish"" - does this mean it's grey?"
M427,1,Greyish ground,G,,,,G,,,,,,G,3,,,,,,,,,L. Sozzani,"Bikker, Jonathan, Yvette Bruijnen, and Gerdien Wuestman, eds. Dutch Paintings of the Seventeenth Century in the Rijksmuseum, Amsterdam: Volume 1 - Artists Born between 1570 and 1600. Amsterdam: Rijksmuseum; Nieuw Amsterdam, 2007.",,"""The wood is visible through the white ground giving it a light red appearance"""
M428,1,White ground,W,,,,W,,,,,,Br,3,,,,,,,,,W. de Ridder,"Bikker, Jonathan, Yvette Bruijnen, and Gerdien Wuestman, eds. Dutch Paintings of the Seventeenth Century in the Rijksmuseum, Amsterdam: Volume 1 - Artists Born between 1570 and 1600. Amsterdam: Rijksmuseum; Nieuw Amsterdam, 2007.",,
M429,1,White ground,W,,,,W,,,,,,Br,3,,,,,,,,,Ige Verslype,"Bikker, Jonathan, Yvette Bruijnen, and Gerdien Wuestman, eds. Dutch Paintings of the Seventeenth Century in the Rijksmuseum, Amsterdam: Volume 1 - Artists Born between 1570 and 1600. Amsterdam: Rijksmuseum; Nieuw Amsterdam, 2007.",,
M430,1,White ground,W,,,,W,,,,,,W,3,,,,,,,,,Arie Wallert,"Bikker, Jonathan, Yvette Bruijnen, and Gerdien Wuestman, eds. Dutch Paintings of the Seventeenth Century in the Rijksmuseum, Amsterdam: Volume 1 - Artists Born between 1570 and 1600. Amsterdam: Rijksmuseum; Nieuw Amsterdam, 2007.",,"""Ground appears to be dark red"" - so is it?"
M431,1,Dark red ground,DR,,,,DR,,,,,,DR,3,,,,,,,,,Arie Wallert,"Bikker, Jonathan, Yvette Bruijnen, and Gerdien Wuestman, eds. Dutch Paintings of the Seventeenth Century in the Rijksmuseum, Amsterdam: Volume 1 - Artists Born between 1570 and 1600. Amsterdam: Rijksmuseum; Nieuw Amsterdam, 2007.",,
M432,1,Off-white ground,W,,,,W,,,,,,W,3,,,,,,,,,Ige Verslype,"Bikker, Jonathan, Yvette Bruijnen, and Gerdien Wuestman, eds. Dutch Paintings of the Seventeenth Century in the Rijksmuseum, Amsterdam: Volume 1 - Artists Born between 1570 and 1600. Amsterdam: Rijksmuseum; Nieuw Amsterdam, 2007.",,Red dead-colouring
M433,1,Transparent and yellowish ground,Y,,,,Y,,,,,,Y,3,,,,,,,,,M. van de Laar,"Bikker, Jonathan, Yvette Bruijnen, and Gerdien Wuestman, eds. Dutch Paintings of the Seventeenth Century in the Rijksmuseum, Amsterdam: Volume 1 - Artists Born between 1570 and 1600. Amsterdam: Rijksmuseum; Nieuw Amsterdam, 2007.",,
M434,1,White ground,W,,,,W,,,,,,LBr,3,,,,,,,,,Gwen Tauber,"Bikker, Jonathan, Yvette Bruijnen, and Gerdien Wuestman, eds. Dutch Paintings of the Seventeenth Century in the Rijksmuseum, Amsterdam: Volume 1 - Artists Born between 1570 and 1600. Amsterdam: Rijksmuseum; Nieuw Amsterdam, 2007.",,
M435,1,White ground,W,,,,W,,,,,,W,3,,,,,,,,,W. de Ridder,"Bikker, Jonathan, Yvette Bruijnen, and Gerdien Wuestman, eds. Dutch Paintings of the Seventeenth Century in the Rijksmuseum, Amsterdam: Volume 1 - Artists Born between 1570 and 1600. Amsterdam: Rijksmuseum; Nieuw Amsterdam, 2007.",,
M436,2,"White ground, in two layers",W-W,,,,W,,W,,,,W,3,,,,,,,,,Y. Bruijnen,"Bikker, Jonathan, Yvette Bruijnen, and Gerdien Wuestman, eds. Dutch Paintings of the Seventeenth Century in the Rijksmuseum, Amsterdam: Volume 1 - Artists Born between 1570 and 1600. Amsterdam: Rijksmuseum; Nieuw Amsterdam, 2007.",,
M437,1,White ground,W,,,,W,,,,,,LY,3,,,,,,,,,Y. Bruijnen,"Bikker, Jonathan, Yvette Bruijnen, and Gerdien Wuestman, eds. Dutch Paintings of the Seventeenth Century in the Rijksmuseum, Amsterdam: Volume 1 - Artists Born between 1570 and 1600. Amsterdam: Rijksmuseum; Nieuw Amsterdam, 2007.",,
M438,1,Buff-coloured,LBr,,,,LBr,,,,,,LBr,3,,,,,,,,,W. de Ridder,"Bikker, Jonathan, Yvette Bruijnen, and Gerdien Wuestman, eds. Dutch Paintings of the Seventeenth Century in the Rijksmuseum, Amsterdam: Volume 1 - Artists Born between 1570 and 1600. Amsterdam: Rijksmuseum; Nieuw Amsterdam, 2007.",,"""The thin, smooth ground layer is probably buff-coloured"" - is it?? Also, categorizing beige/buff as light brown"
M439,1,Grey-brown ground,Br,,,,Br,,,,,,Br,3,,,,,,,,,Ilona van Tuinen,"Van Tuinen, Ilona. “Lot and His Daughters.” In The Leiden Collection Catalogue. Edited by Arthur K. Wheelock Jr. https://www.theleidencollection.com/archive/ (accessed January 23, 2020).",,Grey-brown categorized as brown
M440,2,"1. Red earth (bolus) layer
2. Grey layer of lead white and charcoal",O-G,,,,O,Red earth,G,"Lead white, charcoal",,,W,3,,,,,,,,,"JRJ van Asperen de Boer, Welkenhuysen","RKD, JRJ van Asperen de Boer archive",,"Welkhuyen paper. No images of the sample, based on written interpretation of VadB sample formula"
M441,1,Thin whitish ground,W,,,,W,,,,,,LBr,3,,,,,,,,,L. Sozzani,"Bikker, Jonathan, Yvette Bruijnen, and Gerdien Wuestman, eds. Dutch Paintings of the Seventeenth Century in the Rijksmuseum, Amsterdam: Volume 1 - Artists Born between 1570 and 1600. Amsterdam: Rijksmuseum; Nieuw Amsterdam, 2007.",,
M442,2,"1. Thin white ground
2. Pinkish imprimatura",W-P,,,,W,,P,,,,P,3,,,,,,,,,Ige Verslype,"Bikker, Jonathan, Yvette Bruijnen, and Gerdien Wuestman, eds. Dutch Paintings of the Seventeenth Century in the Rijksmuseum, Amsterdam: Volume 1 - Artists Born between 1570 and 1600. Amsterdam: Rijksmuseum; Nieuw Amsterdam, 2007.",,"Since this is a pendant with Summer, does that mean it also has a white ground before the pink imprimatura?"
M443,1,Pinkish ground layer,P,,,,P,,,,,,P,3,,,,,,,,,Ige Verslype,"Bikker, Jonathan, Yvette Bruijnen, and Gerdien Wuestman, eds. Dutch Paintings of the Seventeenth Century in the Rijksmuseum, Amsterdam: Volume 1 - Artists Born between 1570 and 1600. Amsterdam: Rijksmuseum; Nieuw Amsterdam, 2007.",,Beige = light brown
M444,2,"1. Beige layer
2. Thin grey layer",LBr-G,,,,LBr,,G,,,,G,3,,,,,,,,,M. Chavannes,"Bikker, Jonathan, Yvette Bruijnen, and Gerdien Wuestman, eds. Dutch Paintings of the Seventeenth Century in the Rijksmuseum, Amsterdam: Volume 1 - Artists Born between 1570 and 1600. Amsterdam: Rijksmuseum; Nieuw Amsterdam, 2007.",,
M445,1,Light-grey ground layer,LG,,,,LG,,,,,,LG,3,,,,,,,,,M. van de Laar,"Bikker, Jonathan, Yvette Bruijnen, and Gerdien Wuestman, eds. Dutch Paintings of the Seventeenth Century in the Rijksmuseum, Amsterdam: Volume 1 - Artists Born between 1570 and 1600. Amsterdam: Rijksmuseum; Nieuw Amsterdam, 2007.",,
M446,1,Off-white ground,W,,,,W,,,,,,W,3,,,,,,,,,Ige Verslype,"Bikker, Jonathan, Yvette Bruijnen, and Gerdien Wuestman, eds. Dutch Paintings of the Seventeenth Century in the Rijksmuseum, Amsterdam: Volume 1 - Artists Born between 1570 and 1600. Amsterdam: Rijksmuseum; Nieuw Amsterdam, 2007.",,
M447,1,Whitish ground,W,,,,W,,,,,,W,3,,,,,,,,,Ige Verslype,"Bikker, Jonathan, Yvette Bruijnen, and Gerdien Wuestman, eds. Dutch Paintings of the Seventeenth Century in the Rijksmuseum, Amsterdam: Volume 1 - Artists Born between 1570 and 1600. Amsterdam: Rijksmuseum; Nieuw Amsterdam, 2007.",,"""The ground layer is transparent and appears pinkish in places where the wood shows through"""
M448,1,Transparent and pinkish,P,,,,P,,,,,,P,3,,,,,,,,,M. van de Laar,"Bikker, Jonathan, Yvette Bruijnen, and Gerdien Wuestman, eds. Dutch Paintings of the Seventeenth Century in the Rijksmuseum, Amsterdam: Volume 1 - Artists Born between 1570 and 1600. Amsterdam: Rijksmuseum; Nieuw Amsterdam, 2007.",,"""The whitish ground is transparent and thin; both the colour and the grain of the wood van be seen through it"""
M449,1,Thin and transparent whitish ground,W,,,,W,,,,,,W,3,,,,,,,,,Gwen Tauber,"Bikker, Jonathan, Yvette Bruijnen, and Gerdien Wuestman, eds. Dutch Paintings of the Seventeenth Century in the Rijksmuseum, Amsterdam: Volume 1 - Artists Born between 1570 and 1600. Amsterdam: Rijksmuseum; Nieuw Amsterdam, 2007.",,Is the second layer light brown? Look up cross section (basing this on SK-A-120)
M450,2,"1. Chalk
2. Chalk, lead white, earth colours, and black",LY-LBr,,,,LY,,LBr,,,,LBr,2,,,,,,,,,Gwen Tauber,"Bikker, Jonathan, Yvette Bruijnen, and Gerdien Wuestman, eds. Dutch Paintings of the Seventeenth Century in the Rijksmuseum, Amsterdam: Volume 1 - Artists Born between 1570 and 1600. Amsterdam: Rijksmuseum; Nieuw Amsterdam, 2007.",,"No SEM-EDX done? Interesting that they have the same composition verbally, but have such different tones. Good example"
M451,2,"1. Light gray layer
2. Warm white layer",LG-LBr,,,,LG,"White particles, tiny yellow, ochre, brown, and black pigment particles",LBr,"Large white, small yellow, ochre, brown, and black particles",,,LBr,2,,,,Rijksmuseum (PSD),,,,,Nienke Woltman,"Bikker, Jonathan, Yvette Bruijnen, and Gerdien Wuestman, eds. Dutch Paintings of the Seventeenth Century in the Rijksmuseum, Amsterdam: Volume 1 - Artists Born between 1570 and 1600. Amsterdam: Rijksmuseum; Nieuw Amsterdam, 2007.",,Using light brown instead of off white or warm white
M452,2,"1. Thin white chalk ground
2. White lead, chalk, a little earth",LY-LBr,,,,LY,,LBr,,,,LBr,2,,,,,,,,,Gwen Tauber,"Bikker, Jonathan, Yvette Bruijnen, and Gerdien Wuestman, eds. Dutch Paintings of the Seventeenth Century in the Rijksmuseum, Amsterdam: Volume 1 - Artists Born between 1570 and 1600. Amsterdam: Rijksmuseum; Nieuw Amsterdam, 2007.",,
M453,1,Off-white ground,W,,,,LY,,,,,,LY,3,,,,,,,,,M. Chavannes,"Bikker, Jonathan, Yvette Bruijnen, and Gerdien Wuestman, eds. Dutch Paintings of the Seventeenth Century in the Rijksmuseum, Amsterdam: Volume 1 - Artists Born between 1570 and 1600. Amsterdam: Rijksmuseum; Nieuw Amsterdam, 2007.",,Thin dark brown underpainting
M454,1,Light beige ground layer,LBr,,,,LBr,,,,,,LBr,3,,,,,,,,,Gwen Tauber,"Bikker, Jonathan, Yvette Bruijnen, and Gerdien Wuestman, eds. Dutch Paintings of the Seventeenth Century in the Rijksmuseum, Amsterdam: Volume 1 - Artists Born between 1570 and 1600. Amsterdam: Rijksmuseum; Nieuw Amsterdam, 2007.",,Earth pigment and grey areas of underpainting
M455,1,Light beige ground layer,LBr,,,,LBr,,,,,,LBr,3,,,,,,,,,Gwen Tauber,"Bikker, Jonathan, Yvette Bruijnen, and Gerdien Wuestman, eds. Dutch Paintings of the Seventeenth Century in the Rijksmuseum, Amsterdam: Volume 1 - Artists Born between 1570 and 1600. Amsterdam: Rijksmuseum; Nieuw Amsterdam, 2007.",,Underpainting throughout
M456,1,Pinkish beige priming layer,P,,,,P,,,,,,P,3,,,,,,,,,Gwen Tauber,"Bikker, Jonathan, Yvette Bruijnen, and Gerdien Wuestman, eds. Dutch Paintings of the Seventeenth Century in the Rijksmuseum, Amsterdam: Volume 1 - Artists Born between 1570 and 1600. Amsterdam: Rijksmuseum; Nieuw Amsterdam, 2007.",,See SK-A-1247
M457,1,Pinkish beige priming layer,P,,,,P,,,,,,P,3,,,,,,,,,Gwen Tauber,"Bikker, Jonathan, Yvette Bruijnen, and Gerdien Wuestman, eds. Dutch Paintings of the Seventeenth Century in the Rijksmuseum, Amsterdam: Volume 1 - Artists Born between 1570 and 1600. Amsterdam: Rijksmuseum; Nieuw Amsterdam, 2007.",,Gwen says this is a single red ground even though I thought it really looks like a double red-grey ground
M458,2,"1. Red earth with translucent particles
2. Grey layer with lead white and charcoal",R-G,,,,R,"Red earth, aluminosilicates, red iron oxide",G,"Lead white, charcoal",,,G,1,,,,Rijksmuseum (PSD),,,,,"Gwen Tauber, Katrien Keune",Rijksmuseum Paint Sample Database,,Documentation from 1993. Rijksmuseum research network sk-a-1843
M459,1,Thick red ground,R,,,,R,,,,,,R,4,,,,,,,,,Carol Pottasch,"Mauritshuis documentation, 1993 catalogue",,"On the additions (right and top edge), there is another double ground- the first layer is ochre, lead white, and a little black. The second layer is lead white and ochre. Where are the cross sections?? Thread count = 19x12 per cm2"
M460,2,"1. Red ochre
2. Lead white, ochre",O-Y,,,,O,,Y,,,,Y,3,,,,Mauritshuis,,,,,Carol Pottasch,"Mauritshuis documentation, 1993 catalogue",,"""[Ground] used in places in the pattern of the floor"", samples by de Wild for 1928 dissertation"
M461,1,"Thin, cool-grey layer",G,,,,G,,,,,,G,4,,,,,,,,,Martin de Wild,"Mauritshuis documentation, 1993 catalogue",,"""[Ground is] pale grey, containing charcoal black. The ground has been applied with a brush, as ridges from the brush strokes are visible, running diagonally from the upper left to the lower right. A transparent brown layer can be seen between the ridges of the ground and the other rones, giving a stripey effect"""
M462,1,Pale grey containing charcoal black,LG,,,,LG,,,,,,LG,3,,,,Mauritshuis,,,,,Carol Pottasch,"Mauritshuis documentation, 1993 catalogue",,"""White chalk layer. At the extreme left and right about 3 mm have been left unprimed because the edges fitted in grooves in a temporary framework that kept the picture upright during the painting. There is a grey, stripy priming, which appears to be darker underneath the horse on the left."" Very well documented"
M463,2,"1. White chalk
2. Grey, stripey priming",LY-G,,,,LY,Calcium carbonate (chalk),G,"Lead white, ivory black",,,G,1,,,,,,,,,"Jørgen Wadum, Tiarna Doherty","Mauritshuis documentation, 1993 catalogue",,Ground probably applied with a palette knife
M464,1,Thin grey ground,G,,,,G,Lead white with fine carbon black particles,,,,,G,1,,,,Mauritshuis,,,,,Petria Noble,"Mauritshuis documentation, 1993 catalogue",,Grey layer could be underpainting. Possibly produced in Amersfoort but Van Campen trained with Frans de Grebber in Haarlem. Traveled to Italy 1615-1621
M465,2,"1. Pinkish layer
2. Grey layer",P-G,,,,P,,G,,,,G,3,,,,,,,,,Carol Pottasch,"Mauritshuis documentation, 1993 catalogue",,"Grey underpainting in areas, originally thought to be second ground layer. No lead tin yellow in second lead white layer. "
M466,2,"1. Chalk layer
2. Lead white layer",LY-W,,,,LY,Calcium carbonate (chalk),W,Lead white,,,W,1,,,,Mauritshuis,,,,,Petria Noble,"Mauritshuis documentation, 1993 catalogue",,Look for more tinted primings in Gossaert paintings at NGL. 2010 change to catalogue info. 
M467,2,"1. Chalk layer
2. Pink-grey layer",LY-G,,,,LY,Calcium carbonate (chalk),G,"Lead white, charcoal, vermilion",,,G,2,,,,,,,,,Lorne Campbell and Jill Dunkerton,"Campbell, Lorne, and Jill Dunkerton. “A Famous Gossaert Rediscovered.” The Burlington Magazine 138, no. 1116 (1996): 164–73.",,
M468,2,"1. Chalk ground
2. Layer of lead white and lead tin yellow",LY-Y,,,,LY,Calcium carbonate (chalk),Y,"Lead white, lead tin yellow",,,Y,1,,,,,,,,,,"Billinge, Rachel, Lorne Campbell, Jill Dunkerton, Susan Foister, Jo Kirby, Jennie Pilc, Ashok Roy, Marika Spring, Raymond White, and The National Gallery. “Gossaert’s ‘Adoration of the Kings.’” National Gallery Technical Bulletin 18 (1997).",,"Grey layer may be underpainting. ""The sky has a white underpainting"""
M469,2,"1. Red layer
2. Grey layer",R-G,,,,R,,G,,,,G,4,,,,,,,,,Carol Pottasch,"Mauritshuis documentation, 1993 catalogue",,"Similar to Rubens imprimatura, although the grey is not used in the composition"
